date,time,n_input,num_workerprocess,num_inputList,plot,plot_time,process_time,pi_result,note
<built-in method today of type object at 0x00007FFB871E0AB0>,<method 'dst' of 'datetime.time' objects>,10000000,6,,,,3.451001883,3.141140972,testing
<built-in method today of type object at 0x00007FFB871E0AB0>,<method 'dst' of 'datetime.time' objects>,10000000,6,,,,3.411316156,3.141626172,testing
15-03-2020,23:53:00,10000000,6,,,,3.357097626,3.140956172,testing
15-03-2020,23:54:41,10000000,6,,,,3.199099064,3.142720571,testing
15-03-2020,23:55:43,10000000,1,,,,9.600892305,3.1410292,testing
15-03-2020,23:56:09,10000000,1,,,,9.417853355,3.1417112,-
15-03-2020,23:56:23,10000000,12,,,,3.329761982,3.141860287,-
15-03-2020,23:56:30,10000000,12,,,,2.872815847,3.141327887,-
15-03-2020,23:57:18,10000000,12,,,,2.920081139,3.142154286,-
15-03-2020,23:57:32,10000000,6,,,,3.166844606,3.141844972,-
15-03-2020,23:57:49,10000000,20,,,,2.60037756,3.1411244,-
15-03-2020,23:58:05,10000000,50,,,,2.746709824,3.1415308,-
15-03-2020,23:58:10,10000000,50,,,,2.792546034,3.1424884,-
15-03-2020,23:58:26,10000000,100,,,,3.621412277,3.14093,-
15-03-2020,23:58:39,10000000,100,,,,3.585153818,3.141406,-
15-03-2020,23:58:51,10000000,12,,,,4.683293819,3.141607887,-
15-03-2020,23:59:48,10000000,12,,,,4.526006699,3.141017087,-
16-03-2020,0:00:21,10000000,12,,,,2.92355442,3.140932287,-
16-03-2020,0:02:22,10000000,0,,,,2.886425972,3.142095886,-
16-03-2020,0:04:26,10000000,12,12,,,2.793050528,3.140338288,-
16-03-2020,0:05:58,10000000,1,1,,,9.295086145,3.141682,one process vs 6 process test
16-03-2020,0:06:19,10000000,1,6,,,8.23281312,3.140838172,one process vs 6 process test
16-03-2020,0:06:53,10000000,1,100,,,7.435417414,3.1425048,one process vs 6 process test
16-03-2020,0:07:06,10000000,1,10000,,,7.653797865,3.1416564,one process vs 6 process test
